OpenDSS Value (p.u.),Bus
0.0,p1ulv47744
0.0,p1ulv47800
0.0,p1ulv47812
0.0,p1ulv47593
0.0,p1ulv48745
0.0,p1ulv46216
0.0,p1ulv46152
0.0,p1ulv44367
0.0,p1ulv44432
0.0,p1ulv44553
0.0,p1ulv45478
0.0,p1ulv45534
0.0,p1ulv45638
0.0,p1ulv46205
0.0,p1ulv45640
0.0,p1ulv45761
0.0,p1ulv45825
0.0,p1ulv45839
0.0,p1ulv45879
0.0,p1ulv46006
0.0,p1ulv46085
0.0,p1ulv45698
0.0,p1ulv28484
0.0,p1ulv48813
0.0,p1ulv48928
0.0,p1ulv50909
0.0,p1ulv50920
0.0,p1ulv1288
0.0,p1ulv1391
0.0,p1ulv1403
0.0,p1ulv1404
0.0,p1ulv50791
0.0,p1ulv4346
0.0,p1ulv4359
0.0,p1ulv4360
0.0,p1ulv4361
0.0,p1ulv4365
0.0,p1ulv4367
0.0,p1ulv4369
0.0,p1ulv4357
0.0,p1ulv48880
0.0,p1ulv50759
0.0,p1ulv50694
0.0,p1ulv49013
0.0,p1ulv49083
0.0,p1ulv49100
0.0,p1ulv49187
0.0,p1ulv49240
0.0,p1ulv49322
0.0,p1ulv50747
0.0,p1ulv49324
0.0,p1ulv49477
0.0,p1ulv49539
0.0,p1ulv49542
0.0,p1ulv50405
0.0,p1ulv50453
0.0,p1ulv50521
0.0,p1ulv49347
0.0,udm43268
0.0,p1ulv28550
0.0,p1ulv28755
0.0,p1ulv47534
0.0,p1ulv47422
0.0,p1ulv47353
0.0,p1ulv47144
0.0,p1ulv46162
0.0,p1ulv46020
0.0,p1ulv46017
0.0,p1ulv45957
0.0,p1ulv45560
0.0,p1ulv45496
0.0,p1umv87
0.0,p1ulv44575
0.0,p1ulv44513
0.0,p1ulv44318
0.0,p1ulv44138
0.0,p1ulv44078
0.0,p1umv84
0.0,p1ulv39559
0.0,p1ulv40560
0.0,p1ulv40688
0.0,p1ulv40835
0.0,p1ulv40934
0.0,p1ulv41076
0.0,p1ulv47605
0.0,p1ulv41152
0.0,p1ulv42357
0.0,p1ulv42483
0.0,p1ulv42726
0.0,p1ulv42872
0.0,p1ulv43998
0.0,p1umv83
0.0,p1ulv42347
0.0,p1ulv47760
0.0,p1ulv48826
0.0,p1ulv48890
0.0,udt13410-udt16717x
0.0,udt13410-udt16717xx
0.0,udt1338-udt1340x
0.0,udt1338-udt1340xx
0.0,udt13810-udt16694x
0.0,udt13810-udt16694xx
0.0,udt13070-udt594x
0.0,p1umv41-udt17779x
0.0,udt11772-udt18295xx
0.0,udt11772-udt18295x
0.0,udt11006-udt11618x
0.0,udt11006-udt11618xx
0.0,udt13115-udt6265x
0.0,udt13115-udt6265xx
0.0,p1umv41-udt17779xx
0.0,p1ulv39498
0.0,udt13070-udt594xx
0.0,udt11141-udt18265xx
0.0,p1ulv48893
0.0,p1ulv48961
0.0,p1ulv49098
0.0,p1ulv49201
0.0,p1ulv49266
0.0,p1ulv49363
0.0,udt11141-udt18265x
0.0,p1ulv49428
0.0,p1ulv50483
0.0,p1ulv50632
0.0,p1ulv50635
0.0,p1ulv50708
