Loading (p.u.),Name,Bus1,Bus2
2.568564848096471,Line.l(r:p1ulv53635-udt19680lv),udt19680lv.1.2,p1ulv53635.1.2
2.571430932459663,Line.l(r:p1ulv1947-udm4294),udm4294.1.2,p1ulv1947.1.2
2.572024958628485,Line.l(r:p1ulv39800-udt15508lv),udt15508lv.1.2,p1ulv39800.1.2
2.5722013910484205,Line.l(r:p1ulv33875-udt13995lv),udt13995lv.1.2,p1ulv33875.1.2
2.575961229045909,Line.l(r:p1ulv47587-udt18269lv),udt18269lv.1.2,p1ulv47587.1.2
2.576841016375886,Line.l(r:p1ulv36342-udt6802lv),udt6802lv.1.2,p1ulv36342.1.2
2.577729777964555,Line.l(r:p1ulv60919-udt20841lv),udt20841lv.1.2,p1ulv60919.1.2
2.5777735680558846,Line.l(r:udm41583-udt12510lv),udt12510lv.1.2,udm41583.1.2
2.578658617121356,Line.l(r:udm55890-udt18542lv),udt18542lv.1.2,udm55890.1.2
2.578658697938684,Line.l(r:p1ulv60534-udm55890),udm55890.1.2,p1ulv60534.1.2
2.5794745116238187,Line.l(r:p1ulv27187-udt11584lv),udt11584lv.1.2,p1ulv27187.1.2
2.5805153558078873,Line.l(r:p1ulv42811-udt16801lv),udt16801lv.1.2,p1ulv42811.1.2
2.580532786743753,Line.l(r:udm28870-udt7881lv),udt7881lv.1.2,udm28870.1.2
2.581017041215584,Line.l(r:p1ulv56717-udt20297lv),udt20297lv.1.2,p1ulv56717.1.2
2.581557205594227,Line.l(r:udm25479-udt6834lv),udt6834lv.1.2,udm25479.1.2
2.5818475421528957,Line.l(r:p1ulv61245-udt20879lv),udt20879lv.1.2,p1ulv61245.1.2
2.5837613310859506,Line.l(r:p1ulv54979-udt19985lv),udt19985lv.1.2,p1ulv54979.1.2
2.583839210735536,Line.l(r:p1ulv57312-udt15608lv),udt15608lv.1.2,p1ulv57312.1.2
2.58393175100505,Line.l(r:p1ulv1936-udt1054lv),udt1054lv.1.2,p1ulv1936.1.2
2.5840031813408437,Line.l(r:p1ulv1935-udt1053lv),udt1053lv.1.2,p1ulv1935.1.2
2.5840428961589583,Line.l(r:p1ulv30236-udt12889lv),udt12889lv.1.2,p1ulv30236.1.2
2.5842886270881267,Line.l(r:p1ulv25991-udt10818lv),udt10818lv.1.2,p1ulv25991.1.2
