Loading (p.u.),Name,Bus and Phases,kVA,Number of Phases
1.1579064110583797,Transformer.tr(r:udt2250-udt2250lv),udt2250.1,50.0,1
1.159035147379047,Transformer.tr(r:udt10875-udt10875lv),udt10875.1,75.0,1
1.1664795050171177,Transformer.tr(r:udt4547-udt4547lv),udt4547.3,50.0,1
1.1688426878685199,Transformer.tr(r:udt5230-udt5230lv),udt5230.1,50.0,1
1.1722541287841846,Transformer.tr(r:udt11879-udt11879lv),udt11879.2,50.0,1
1.175028791526305,Transformer.tr(r:udt274-udt274lv),udt274.2,50.0,1
1.1792197339064294,Transformer.tr(r:udt6803-udt6803lv),udt6803.3,50.0,1
1.1831796554489493,Transformer.tr(r:udt3395-udt3395lv),udt3395.1,75.0,1
1.1859569209808984,Transformer.tr(r:udt6802-udt6802lv),udt6802.1,50.0,1
1.1929486085459224,Transformer.tr(r:udt6818-udt6818lv),udt6818.3,50.0,1
1.193488919303725,Transformer.tr(r:udt14715-udt14715lv),udt14715,150.0,3
1.195423573495843,Transformer.tr(r:udt18889-udt18889lv),udt18889.1,50.0,1
1.1957316460335556,Transformer.tr(r:udt7804-udt7804lv),udt7804,150.0,3
1.1970410086205459,Transformer.tr(r:udt13563-udt13563lv),udt13563,150.0,3
1.1972020019833292,Transformer.tr(r:udt12959-udt12959lv),udt12959,150.0,3
1.1976739629221071,Transformer.tr(r:udt18818-udt18818lv),udt18818.2,50.0,1
1.1978885539715936,Transformer.tr(r:udt5831-udt5831lv),udt5831,150.0,3
1.1986976615073262,Transformer.tr(r:udt15655-udt15655lv),udt15655.3,50.0,1
1.1990458861559117,Transformer.tr(r:udt6154-udt6154lv),udt6154.3,50.0,1
1.1996360956037488,Transformer.tr(r:udt2835-udt2835lv),udt2835.3,75.0,1
1.2000054422471311,Transformer.tr(r:udt17704-udt17704lv),udt17704,150.0,3
1.2001157513820437,Transformer.tr(r:udt20305-udt20305lv),udt20305,150.0,3
1.2003956914329588,Transformer.tr(r:udt17929-udt17929lv),udt17929,150.0,3
1.201434707618643,Transformer.tr(r:udt19540-udt19540lv),udt19540.2,50.0,1
1.202501931512968,Transformer.tr(r:udt19152-udt19152lv),udt19152.2,50.0,1
1.2047092537538373,Transformer.tr(r:udt6075-udt6075lv),udt6075.1,50.0,1
1.2053468396168097,Transformer.tr(r:udt9981-udt9981lv),udt9981.3,50.0,1
1.2071244811736919,Transformer.tr(r:udt2810-udt2810lv),udt2810.3,50.0,1
1.2080818801154063,Transformer.tr(r:udt340-udt340lv),udt340,150.0,3
1.2080918657397626,Transformer.tr(r:udt14445-udt14445lv),udt14445,150.0,3
1.2099765673133764,Transformer.tr(r:udt13017-udt13017lv),udt13017,150.0,3
1.211433261728427,Transformer.tr(r:udt9163-udt9163lv),udt9163,300.0,3
1.2114676500360502,Transformer.tr(r:udt12112-udt12112lv),udt12112.1,50.0,1
1.213502162996152,Transformer.tr(r:udt12627-udt12627lv),udt12627.2,50.0,1
1.223131240043685,Transformer.tr(r:udt16921-udt16921lv),udt16921.1,50.0,1
1.2265131588780218,Transformer.tr(r:udt19958-udt19958lv),udt19958,150.0,3
1.2268422924725406,Transformer.tr(r:udt2368-udt2368lv),udt2368.1,75.0,1
1.2281946725186923,Transformer.tr(r:udt20107-udt20107lv),udt20107,150.0,3
1.2282206911084745,Transformer.tr(r:udt2248-udt2248lv),udt2248.3,50.0,1
1.2299903787215738,Transformer.tr(r:udt9562-udt9562lv),udt9562.3,50.0,1
