Loading (p.u.),Name,Bus1,Bus2
2.616906032540118,Line.l(r:p1ulv39857-udm47614),udm47614.1.2,p1ulv39857.1.2
2.619971017396725,Line.l(r:p1ulv41810-udt16470lv),udt16470lv.1.2,p1ulv41810.1.2
2.630279703743587,Line.l(r:p1ulv3761-udt1777lv),udt1777lv.1.2,p1ulv3761.1.2
2.633723297801302,Line.l(r:udm57897-udt19540lv),udt19540lv.1.2,udm57897.1.2
2.6337235380479593,Line.l(r:p1ulv53060-udm57897),udm57897.1.2,p1ulv53060.1.2
2.665096455980912,Line.l(r:p1ulv45048-udt16870lv),udt16870lv.1.2,p1ulv45048.1.2
2.6776295186733456,Line.l(r:udm8986-udt2248lv),udt2248lv.1.2,udm8986.1.2
2.6776296481631516,Line.l(r:p1ulv4911-udm8986),udm8986.1.2,p1ulv4911.1.2
2.699311076999565,Line.l(r:udm51806-udt16870lv),udt16870lv.1.2,udm51806.1.2
2.699311246489277,Line.l(r:p1ulv43036-udm51806),udm51806.1.2,p1ulv43036.1.2
2.706701725904337,Line.l(r:udm55104-udt18158lv),udt18158lv.1.2,udm55104.1.2
2.706702114967081,Line.l(r:p1ulv57106-udm55104),udm55104.1.2,p1ulv57106.1.2
2.7081512636445377,Line.l(r:udm53601-udt17528lv),udt17528lv.1.2,udm53601.1.2
2.708151405447735,Line.l(r:p1ulv45218-udm53601),udm53601.1.2,p1ulv45218.1.2
2.741853430007218,Line.l(r:p1ulv9479-udt4410lv),udt4410lv.1.2,p1ulv9479.1.2
2.765116155559205,Line.l(r:p1ulv60214-udt20766lv),udt20766lv.1.2,p1ulv60214.1.2
2.798903100758517,Line.l(r:p1ulv56922-udt20330lv),udt20330lv.1.2,p1ulv56922.1.2
2.8221767297549345,Line.l(r:udm17692-udm17698),udm17692.1.2,udm17698.1.2
2.8326730192055067,Line.l(r:p1ulv55149-udm55102),udm55102.1.2,p1ulv55149.1.2
2.8462421810141056,Line.l(r:udm17713-udt4684lv),udt4684lv.1.2,udm17713.1.2
2.8483551155300084,Line.l(r:udm8990-udt2250lv),udt2250lv.1.2,udm8990.1.2
2.861749550812846,Line.l(r:udm17680-udt4673lv),udt4673lv.1.2,udm17680.1.2
2.861749585810638,Line.l(r:p1ulv53758-udm17680),udm17680.1.2,p1ulv53758.1.2
2.8737246420291687,Line.l(r:udm56390-udt18827lv),udt18827lv.1.2,udm56390.1.2
2.8737250086035555,Line.l(r:p1ulv49888-udm56390),udm56390.1.2,p1ulv49888.1.2
2.874040534201737,Line.l(r:p1ulv52018-udt18568lv),udt18568lv.1.2,p1ulv52018.1.2
2.9151828390718766,Line.l(r:p1ulv41352-udt16198lv),udt16198lv.1.2,p1ulv41352.1.2
2.9197126992818974,Line.l(r:udm16703-udt4410lv),udt4410lv.1.2,udm16703.1.2
2.91971270967295,Line.l(r:p1ulv9480-udm16703),udm16703.1.2,p1ulv9480.1.2
2.924470760112138,Line.l(r:p1ulv48649-udt18568lv),udt18568lv.1.2,p1ulv48649.1.2
2.935247845833349,Line.l(r:udm11960-udt3009lv),udt3009lv.1.2,udm11960.1.2
2.9352480188162167,Line.l(r:p1ulv6580-udm11960),udm11960.1.2,p1ulv6580.1.2
3.0387158630375093,Line.l(r:p1ulv46982-udm55102),udm55102.1.2,p1ulv46982.1.2
3.052258984928993,Line.l(r:udm7003-udt1773lv),udt1773lv.1.2,udm7003.1.2
3.052259300055434,Line.l(r:p1ulv3763-udm7003),udm7003.1.2,p1ulv3763.1.2
3.0561058324706107,Line.l(r:p1ulv58344-udt20534lv),udt20534lv.1.2,p1ulv58344.1.2
3.1483842068894674,Line.l(r:udm56391-udt18827lv),udt18827lv.1.2,udm56391.1.2
3.148384516707624,Line.l(r:p1ulv56316-udm56391),udm56391.1.2,p1ulv56316.1.2
3.209716107262558,Line.l(r:udm17692-udt4678lv),udt4678lv.1.2,udm17692.1.2
3.2749322057856776,Line.l(r:p1ulv54398-udt19863lv),udt19863lv.1.2,p1ulv54398.1.2
3.612272174321673,Line.l(r:p1ulv44886-udt17523lv),udt17523lv.1.2,p1ulv44886.1.2
5.7003671865623255,Line.l(r:p1ulv3746-udt1772lv),udt1772lv.1.2,p1ulv3746.1.2
5.783396506506154,Line.l(r:udm55102-udt18158lv),udt18158lv.1.2,udm55102.1.2
8.844563488711364,Line.l(r:p1ulv10034-udt4663lv),udt4663lv.1.2,p1ulv10034.1.2
