Loading (p.u.),Name,Bus1,Bus2
1.5039883256497366,Line.l(r:udm2161-udm2162),udm2161.1.2,udm2162.1.2
1.512467239548922,Line.l(r:p1ulv44787-udm47086),udm47086.1.2,p1ulv44787.1.2
1.5191036114582521,Line.l(r:p1ulv58312-udt522lv),udt522lv.1.2,p1ulv58312.1.2
1.5207138638576618,Line.l(r:p1ulv44657-udm2174),udm2174.1.2,p1ulv44657.1.2
1.5216005129655987,Line.l(r:p1ulv56059-udm57628),udm57628.1.2,p1ulv56059.1.2
1.5253955393104999,Line.l(r:p1ulv54518-udm2177),udm2177.1.2,p1ulv54518.1.2
1.5318159653189565,Line.l(r:udm2094-udt522lv),udt522lv.1.2,udm2094.1.2
1.5318160095117452,Line.l(r:p1ulv54574-udm2094),udm2094.1.2,p1ulv54574.1.2
1.5343745406543983,Line.l(r:p1ulv59288-udm2192),udm2192.1.2,p1ulv59288.1.2
1.5348333993357512,Line.l(r:udm2192-udt538lv),udt538lv.1.2,udm2192.1.2
1.5350276749482992,Line.l(r:udm2130-udm2138),udm2130.1.2,udm2138.1.2
1.540553744740714,Line.l(r:p1ulv980-udt537lv),udt537lv.1.2,p1ulv980.1.2
1.5478186789281305,Line.l(r:udm2132-udm2138),udm2138.1.2,udm2132.1.2
1.5557955080027914,Line.l(r:p1ulv57772-udm57166),udm57166.1.2,p1ulv57772.1.2
1.5625993474378428,Line.l(r:p1ulv56402-udm2162),udm2162.1.2,p1ulv56402.1.2
1.5626423990018907,Line.l(r:p1ulv981-udm2158),udm2158.1.2,p1ulv981.1.2
1.5662528720264937,Line.l(r:p1ulv58901-udm2161),udm2161.1.2,p1ulv58901.1.2
1.5683258700352785,Line.l(r:p1ulv46623-udt18035lv),udt18035lv.1.2,p1ulv46623.1.2
1.5754757042534158,Line.l(r:p1ulv57768-udt532lv),udt532lv.1.2,p1ulv57768.1.2
1.589104642555146,Line.l(r:udm47801-udt15602lv),udt15602lv.1.2,udm47801.1.2
1.589432749006052,Line.l(r:p1ulv51301-udm2131),udm2131.1.2,p1ulv51301.1.2
1.5962907014627314,Line.l(r:p1ulv59796-udt532lv),udt532lv.1.2,p1ulv59796.1.2
1.6085164098823441,Line.l(r:p1ulv45411-udm2132),udm2132.1.2,p1ulv45411.1.2
1.609782338101228,Line.l(r:p1ulv53448-udt537lv),udt537lv.1.2,p1ulv53448.1.2
1.6112388944207958,Line.l(r:p1ulv50364-udm48686),udm48686.1.2,p1ulv50364.1.2
1.622157652168867,Line.l(r:p1ulv41792-udt522lv),udt522lv.1.2,p1ulv41792.1.2
1.6274980081022359,Line.l(r:udm2131-udm2137),udm2131.1.2,udm2137.1.2
1.6274980108622794,Line.l(r:p1ulv57710-udm2137),udm2137.1.2,p1ulv57710.1.2
1.634775575682357,Line.l(r:p1ulv58064-udm47801),udm47801.1.2,p1ulv58064.1.2
1.6361467512150496,Line.l(r:p1ulv969-udm2115),udm2115.1.2,p1ulv969.1.2
1.654994906376284,Line.l(r:p1ulv53144-udm2135),udm2135.1.2,p1ulv53144.1.2
1.6738549260575537,Line.l(r:udm48683-udm48685),udm48685.1.2,udm48683.1.2
1.6738549291650011,Line.l(r:p1ulv41980-udm48683),udm48683.1.2,p1ulv41980.1.2
1.6909626553583408,Line.l(r:p1ulv50360-udt18932lv),udt18932lv.1.2,p1ulv50360.1.2
1.6983578591885164,Line.l(r:p1ulv49906-udm2151),udm2151.1.2,p1ulv49906.1.2
1.7036348343880958,Line.l(r:udm56195-udm56199),udm56199.1.2,udm56195.1.2
1.7036348784984694,Line.l(r:p1ulv49607-udm56195),udm56195.1.2,p1ulv49607.1.2
1.7077584618601473,Line.l(r:udm52173-udt16983lv),udt16983lv.1.2,udm52173.1.2
1.7077585516294165,Line.l(r:p1ulv43265-udm52173),udm52173.1.2,p1ulv43265.1.2
1.7108299197534083,Line.l(r:p1ulv42122-udm51389),udm51389.1.2,p1ulv42122.1.2
1.7139697080608696,Line.l(r:udm48682-udm48684),udm48682.1.2,udm48684.1.2
1.7139697531272988,Line.l(r:p1ulv43518-udm48684),udm48684.1.2,p1ulv43518.1.2
1.7159350885314135,Line.l(r:p1ulv52438-udm2154),udm2154.1.2,p1ulv52438.1.2
1.7237119349059997,Line.l(r:p1ulv54638-udm57598),udm57598.1.2,p1ulv54638.1.2
1.7335856141504442,Line.l(r:p1ulv55916-udm2155),udm2155.1.2,p1ulv55916.1.2
1.7340474461355875,Line.l(r:udm2092-udt522lv),udt522lv.1.2,udm2092.1.2
1.7340474882940586,Line.l(r:p1ulv956-udm2092),udm2092.1.2,p1ulv956.1.2
1.7376700431378658,Line.l(r:udm49981-udt16268lv),udt16268lv.1.2,udm49981.1.2
1.7382329593967925,Line.l(r:p1ulv51496-udm47665),udm47665.1.2,p1ulv51496.1.2
1.7413940475013092,Line.l(r:udm2151-udm2153),udm2151.1.2,udm2153.1.2
1.741394134786659,Line.l(r:p1ulv52253-udm2153),udm2153.1.2,p1ulv52253.1.2
1.7453846720842632,Line.l(r:p1ulv45229-udm48685),udm48685.1.2,p1ulv45229.1.2
1.7521626385554498,Line.l(r:p1ulv14633-udm2149),udm2149.1.2,p1ulv14633.1.2
1.7710217422721595,Line.l(r:p1ulv59538-udm2123),udm2123.1.2,p1ulv59538.1.2
1.7714257609607595,Line.l(r:p1ulv50304-udt531lv),udt531lv.1.2,p1ulv50304.1.2
1.7784420356734618,Line.l(r:udm49711-udt16204lv),udt16204lv.1.2,udm49711.1.2
1.7784420775591891,Line.l(r:p1ulv41360-udm49711),udm49711.1.2,p1ulv41360.1.2
1.7816244130127918,Line.l(r:p1ulv43018-udt15983lv),udt15983lv.1.2,p1ulv43018.1.2
1.781953420136707,Line.l(r:p1ulv60933-udm2124),udm2124.1.2,p1ulv60933.1.2
1.7855102295460892,Line.l(r:p1ulv60634-udt16204lv),udt16204lv.1.2,p1ulv60634.1.2
1.7871282052372421,Line.l(r:p1ulv982-udt538lv),udt538lv.1.2,p1ulv982.1.2
1.807241073513926,Line.l(r:udm49981-udm49983),udm49981.1.2,udm49983.1.2
1.8072411129725106,Line.l(r:p1ulv60761-udm49983),udm49983.1.2,p1ulv60761.1.2
1.8176165279216145,Line.l(r:p1ulv41531-udm2171),udm2171.1.2,p1ulv41531.1.2
1.951126160210949,Line.l(r:udm2177-udt536lv),udt536lv.1.2,udm2177.1.2
1.9880196903232379,Line.l(r:udm2164-udt534lv),udt534lv.1.2,udm2164.1.2
2.032600201220618,Line.l(r:udm2161-udm2164),udm2164.1.2,udm2161.1.2
2.1286962508099996,Line.l(r:udm2124-udt529lv),udt529lv.1.2,udm2124.1.2
2.19494844806217,Line.l(r:udm2148-udt533lv),udt533lv.1.2,udm2148.1.2
2.202663888259239,Line.l(r:udm2147-udm2148),udm2148.1.2,udm2147.1.2
2.244040464608102,Line.l(r:udm2154-udm2155),udm2155.1.2,udm2154.1.2
2.2542949444279983,Line.l(r:udm2147-udm2151),udm2147.1.2,udm2151.1.2
2.5862863977063384,Line.l(r:p1ulv41912-udt16530lv),udt16530lv.1.2,p1ulv41912.1.2
2.604308327943015,Line.l(r:udm48797-udt15855lv),udt15855lv.1.2,udm48797.1.2
2.6090452532561272,Line.l(r:p1ulv50171-udt18011lv),udt18011lv.1.2,p1ulv50171.1.2
2.6767900132538913,Line.l(r:udm47086-udt15420lv),udt15420lv.1.2,udm47086.1.2
2.6790800360766354,Line.l(r:udm57661-udt19420lv),udt19420lv.1.2,udm57661.1.2
