,MAIN ELECTRIC HEATING COIL_UNIT3_BACKROW_BOTTOMFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,31933.722,31933.722,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_BOTTOMFLOOR,Fan:OnOff,503.569036,0.62424867,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,31933.72,31933.72,1.0000,0.62424867,503.569036,62.79,53.94,0.00691394,8.3,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,31933.72,-26.9,0.00018338,-26.9,44.99498340,8.9352,71.59,0.00757434,71.59,0.00757434,45.6142,27591.18,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT1_FRONTROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,12623.724,10107.251,473.527551,-999.,-999.00,-999.0000,1.03629,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_MIDDLEFLOOR,Fan:OnOff,473.527551,0.58700779,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,12473.19,10953.76,0.9881,0.58700779,473.527551,74.26,61.31,0.00871932,10.9,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,809.124,11664.07,83.06,0.01272282,69.78,44.99498340,9.5021,71.60,0.00829896,71.60,0.00829896,49.9028,9265.26,0.00,12628.99,10042.69,0.56382542,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN ELECTRIC HEATING COIL_UNIT1_FRONTROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,13897.113,13897.113,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_MIDDLEFLOOR,Fan:OnOff,473.527551,0.58700779,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,13897.11,13897.11,1.0000,0.58700779,473.527551,62.24,53.68,0.00689274,8.2,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,13897.11,-26.9,0.00018338,-26.9,44.99498340,9.5021,71.60,0.00759720,71.60,0.00759720,45.7397,9287.64,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,7523.382,6023.635,282.209007,-999.,-999.00,-999.0000,1.01141,1.00000,0.2442,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_MIDDLEFLOOR,Fan:OnOff,282.209007,0.34984001,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,Sensible,8069.09,6204.10,1.0725,0.34984001,282.209007,73.42,62.21,0.00950297,11.3,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,482.215,7586.87,69.44,0.01270967,65.53,44.99498340,15.9439,72.30,0.00889472,72.30,0.00889472,52.1748,5868.70,0.00,7526.52,5985.16,0.33602398,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN ELECTRIC HEATING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,10862.733,10862.733,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_MIDDLEFLOOR,Fan:OnOff,282.209007,0.34984001,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,10862.73,10862.73,1.0000,0.34984001,282.209007,55.90,50.20,0.00647430,7.1,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,10862.73,-26.9,0.00018338,-26.9,44.99498340,15.9439,71.60,0.00766757,71.60,0.00766757,46.1552,6208.32,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,9932.554,7952.552,372.579288,-999.,-999.00,-999.0000,1.05335,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_MIDDLEFLOOR,Fan:OnOff,372.579288,0.46186741,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 11:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,Sensible,10108.62,8642.32,1.0177,0.46186741,372.579288,73.91,61.41,0.00886664,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,636.632,9471.99,77.70,0.01271761,68.16,44.99498340,12.0766,71.60,0.00833770,71.60,0.00832228,50.0407,7130.84,0.00,9936.70,7901.75,0.44362714,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN ELECTRIC HEATING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,13897.863,13897.863,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_MIDDLEFLOOR,Fan:OnOff,372.579288,0.46186741,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,13897.86,13897.86,1.0000,0.46186741,372.579288,59.71,52.27,0.00670189,7.7,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,13897.86,-26.9,0.00018338,-26.9,44.99498340,12.0766,71.60,0.00759723,71.60,0.00759723,45.7399,9288.40,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT1_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,11616.068,9300.466,435.729441,-999.,-999.00,-999.0000,1.02239,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_MIDDLEFLOOR,Fan:OnOff,435.729441,0.54015141,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,11494.35,9996.72,0.9895,0.54015141,435.729441,74.35,61.43,0.00877998,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,744.538,10749.81,83.06,0.01272282,69.78,44.99498340,10.3264,71.60,0.00832595,71.60,0.00832595,50.0630,8525.65,0.00,11620.92,9241.06,0.51881951,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN ELECTRIC HEATING COIL_UNIT1_BACKROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,13898.694,13898.694,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_MIDDLEFLOOR,Fan:OnOff,435.729441,0.54015141,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,13898.69,13898.69,1.0000,0.54015141,435.729441,61.43,53.23,0.00683168,8.1,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,13898.69,-26.9,0.00018338,-26.9,44.99498340,10.3264,71.60,0.00759727,71.60,0.00759727,45.7401,9289.25,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT2_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,7357.475,5890.801,275.985672,-999.,-999.00,-999.0000,1.00227,1.00000,0.2442,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_MIDDLEFLOOR,Fan:OnOff,275.985672,0.34212527,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,Sensible,7901.16,6014.48,1.0739,0.34212527,275.985672,73.40,62.30,0.00956760,11.3,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,471.581,7429.58,69.44,0.01270967,65.53,44.99498340,16.3034,72.30,0.00895555,72.30,0.00895555,52.5284,5742.51,0.00,7360.54,5853.17,0.32861390,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN ELECTRIC HEATING COIL_UNIT2_BACKROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,10861.952,10861.952,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_BACKROW_MIDDLEFLOOR,Fan:OnOff,275.985672,0.34212527,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,10861.95,10861.95,1.0000,0.34212527,275.985672,55.55,50.00,0.00644737,7.0,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,10861.95,-26.9,0.00018338,-26.9,44.99498340,16.3034,71.60,0.00766754,71.60,0.00766754,46.1550,6207.52,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT3_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,9221.862,7383.533,345.920575,-999.,-999.00,-999.0000,1.06767,1.00000,0.2440,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_MIDDLEFLOOR,Fan:OnOff,345.920575,0.42881997,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,Sensible,9576.13,7987.18,1.0384,0.42881997,345.920575,73.47,61.46,0.00899697,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,591.080,8985.05,73.90,0.01271395,66.97,44.99498340,13.0073,71.60,0.00844120,71.60,0.00835074,50.2095,6673.89,0.00,9225.71,7336.37,0.41188483,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN ELECTRIC HEATING COIL_UNIT3_BACKROW_MIDDLEFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,13894.732,13894.732,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_BACKROW_MIDDLEFLOOR,Fan:OnOff,345.920575,0.42881997,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,13894.73,13894.73,1.0000,0.42881997,345.920575,58.79,51.75,0.00663278,7.6,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,13894.73,-26.9,0.00018338,-26.9,44.99498340,13.0073,71.60,0.00759711,71.60,0.00759711,45.7391,9285.22,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT1_FRONTROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,LIVING_UNIT1_FRONTROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,12719.133,10183.641,477.106428,-999.,-999.00,-999.0000,1.02294,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_TOPFLOOR,Fan:OnOff,477.106428,0.59144434,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,12584.76,10904.49,0.9894,0.59144434,477.106428,74.25,61.43,0.00879876,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,815.239,11769.53,83.06,0.01272282,69.78,44.99498340,9.4308,71.60,0.00839015,71.60,0.00839015,50.4446,9335.05,0.00,12724.44,10118.59,0.56808676,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN ELECTRIC HEATING COIL_UNIT1_FRONTROW_TOPFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,LIVING_UNIT1_FRONTROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,16425.224,16425.224,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_FRONTROW_TOPFLOOR,Fan:OnOff,477.106428,0.59144434,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,16425.22,16425.22,1.0000,0.59144434,477.106428,62.30,52.88,0.00643748,7.9,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,16425.22,-26.9,0.00018338,-26.9,44.99498340,9.4308,71.59,0.00708871,71.59,0.00708871,42.7249,11853.53,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT2_FRONTROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,LIVING_UNIT2_FRONTROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,8063.290,6457.661,301.816881,-999.,-999.00,-999.0000,1.00000,1.00000,0.2443,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_TOPFLOOR,Fan:OnOff,301.816881,0.37414689,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,Sensible,8664.67,6577.10,1.0746,0.37414689,301.816881,73.45,62.35,0.00958909,11.4,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,515.719,8148.95,69.44,0.01270967,65.53,44.99498340,14.9080,72.31,0.00904237,72.31,0.00904237,53.0258,6265.89,0.00,8066.65,6416.40,0.35937092,80.00,67.00,0.01118466,13.2,59.71,58.25,0.01002134,9.7
,MAIN ELECTRIC HEATING COIL_UNIT2_FRONTROW_TOPFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,LIVING_UNIT2_FRONTROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,13356.345,13356.345,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT2_FRONTROW_TOPFLOOR,Fan:OnOff,301.816881,0.37414689,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,13356.34,13356.34,1.0000,0.37414689,301.816881,56.91,49.65,0.00595710,6.9,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,13356.34,-26.9,0.00018338,-26.9,44.99498340,14.9080,71.59,0.00696865,71.59,0.00696865,42.0074,8739.22,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT3_FRONTROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,LIVING_UNIT3_FRONTROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,10082.156,8072.331,378.190968,-999.,-999.00,-999.0000,1.04012,1.00000,0.2440,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_TOPFLOOR,Fan:OnOff,378.190968,0.46882392,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,Sensible,10275.55,8668.93,1.0192,0.46882392,378.190968,73.89,61.53,0.00894620,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,646.221,9629.33,77.70,0.01271761,68.16,44.99498340,11.8974,71.60,0.00843691,71.60,0.00843691,50.7211,7399.88,0.00,10086.36,8020.77,0.45030892,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN ELECTRIC HEATING COIL_UNIT3_FRONTROW_TOPFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,LIVING_UNIT3_FRONTROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,16421.496,16421.496,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT3_FRONTROW_TOPFLOOR,Fan:OnOff,378.190968,0.46882392,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,16421.50,16421.50,1.0000,0.46882392,378.190968,59.87,51.53,0.00626693,7.5,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,16421.50,-26.9,0.00018338,-26.9,44.99498340,11.8974,71.59,0.00708846,71.59,0.00708846,42.7234,11849.75,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
,DX COOLING COIL_UNIT1_BACKROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,LIVING_UNIT1_BACKROW_TOPFLOOR,Non-Coincident,CoolingDesignCapacity,N/A,Yes,Yes,unknown,No,12094.541,9683.558,453.677402,-999.,-999.00,-999.0000,1.01352,1.00000,0.2439,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_TOPFLOOR,Fan:OnOff,453.677402,0.56240058,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,Sensible,11979.01,10306.73,0.9904,0.56240058,453.677402,74.30,61.51,0.00884305,11.0,53.60,52.09,0.00800000,7.7,-999.,-999.0,-999.0,-999.0,775.206,11203.80,83.06,0.01272282,69.78,44.99498340,9.9178,71.60,0.00841590,71.60,0.00841590,50.5974,8876.61,0.00,12099.59,9621.70,0.54019001,80.00,67.00,0.01118466,13.2,59.76,58.27,0.01002260,9.8
,MAIN ELECTRIC HEATING COIL_UNIT1_BACKROW_TOPFLOOR,Coil:Heating:Electric,AirLoop,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,LIVING_UNIT1_BACKROW_TOPFLOOR,Non-Coincident,HeatingDesignCapacity,N/A,Yes,No,unknown,No,16424.648,16424.648,-999.,-999.,-999.00,-999.0000,1.00000,1.00000,0.2436,0.2400,0.0744,SUPPLY FAN_UNIT1_BACKROW_TOPFLOOR,Fan:OnOff,453.677402,0.56240058,,-999.000,-999.000,-999.,-999.0,-999.0,-999.0,-999.0,-999.000,-999.,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,unknown,unknown,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 15:00:00,Sensible,16424.65,16424.65,1.0000,0.56240058,453.677402,61.82,52.61,0.00640382,7.8,122.00,74.93,0.00800000,17.0,-999.,-999.0,-999.0,-999.0,0.000,16424.65,-26.9,0.00018338,-26.9,44.99498340,9.9178,71.59,0.00708867,71.59,0.00708867,42.7247,11852.95,0.00,-999.0,-999.0,-999.,-999.0,-999.0,-999.,-999.,-999.0,-999.0,-999.,-999.
