Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1_FRONTROW_BOTTOMFLOOR:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  12:00:00,-10.8,-11.743740311828423,-11.743740311828423,22.000787013387594,51621299.926095545,173697140.69536716,39324937.046586715,1713680.159054812,1364837.795636699,4720424.663127804,1194079.4716200747,0.0,0.0,173697140.69536716,0.0 
 01/12  13:00:00,-10.6,-11.523093849872815,-11.523093849872815,22.00070509977464,50883008.542891994,173100520.01536334,38594952.87661496,1713680.159054812,1169738.5460720598,4955496.112649762,1074607.6357757982,0.0,0.0,173100520.01536334,0.0 
 01/12  14:00:00,-10.3,-11.438126231914245,-11.438126231914245,22.00133087362143,81387140.34123757,237307080.53647563,37267631.61147033,1713680.159054812,1315991.5706358887,4955496.112649762,955295.5216371961,0.0,0.0,237307080.53647563,0.0 
 01/12  15:00:00,-9.8,-10.839810800675263,-10.839810800675263,22.001124614789635,64007717.81176702,199426903.50872898,36617461.96882949,1713680.159054812,1072331.7465090365,4889011.258239515,835823.6857929175,0.0,0.0,199426903.50872898,0.0 
 01/12  16:00:00,-9.3,-10.26873986632781,-10.26873986632781,22.00078445333811,51851035.866351515,172552388.5677951,38225869.85629992,2970378.9423616747,1023485.5215082268,4955496.112649762,776087.7678707795,0.0,0.0,172552388.5677951,0.0 
 01/12  17:00:00,-9.0,-9.631936030197465,-9.631936030197465,22.00078455097216,61901197.55473955,173283352.77871782,44795449.52530815,6397739.2604713,1072331.7465090365,5226184.44846293,805955.7268318479,0.0,0.0,173283352.77871782,0.0 
 01/12  18:00:00,-9.0,-9.5608035705968,-9.5608035705968,22.001391846479805,106523033.82614198,223884911.3035061,55269617.26711448,8911136.827085022,1413398.3701989125,5731944.233798051,776087.7678707795,0.0,0.0,223884911.3035061,0.0 
 01/12  19:00:00,-9.1,-10.008556105180014,-10.008556105180014,22.001009020216575,99859330.1218152,186494739.58233565,55399498.511634886,11995761.113383692,2486015.7671465483,5900530.828909755,776087.7678707795,0.0,0.0,186494739.58233565,0.0 
 01/12  20:00:00,-9.4,-10.742193848268183,-10.742193848268183,22.000506755717325,79777218.64201745,158503880.64154276,51663709.24382042,13294003.658122186,3168434.664964901,5731944.233798051,776087.7678707795,0.0,0.0,158503880.64154276,0.0 
 01/12  21:00:00,-10.1,-11.31333528157844,-11.31333528157844,22.000431488396686,77987794.37737438,158455429.99639058,49934365.634654075,13294003.658122186,2583422.566709569,5563357.63868634,776087.7678707795,0.0,0.0,158455429.99639058,0.0 
 01/12  22:00:00,-10.9,-12.205826279051855,-12.205826279051855,22.001326300601427,104353205.96763921,229146953.41944885,47741914.334141746,10053590.266454902,1901003.6688912208,5461255.897984883,746219.8089097101,0.0,0.0,229146953.41944885,0.0 
 01/12  23:00:00,-12.1,-13.098383856871454,-13.098383856871454,22.001048458216008,76579181.32057743,201295830.02296296,40294035.26445979,5598021.852912389,1267145.345635079,5226184.44846293,507435.85892682965,0.0,0.0,201295830.02296296,0.0 
 01/12  24:00:00,-13.5,-14.428912969801702,-14.428912969801702,22.00047478438117,50147815.00354304,179349660.6337114,32708042.448952936,2284906.8787397505,877232.4969443938,4889011.258239515,268651.90894395043,0.0,0.0,179349660.6337114,0.0 
