Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),gas_dryer:InteriorEquipment:Electricity [J](TimeStep),gas_range:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),InteriorEquipment:NaturalGas [J](TimeStep),Heating:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  11:00:00,-10.7,-11.683582416890017,-11.683582416890017,22.000698507171393,3409758.7358969427,26490804.002626635,2456052.9016004917,156848.65978789877,107703.04073651227,262245.8146182114,89962.45479534201,67175.8429709376,0.0,0.0,2036126.6366556163,0.0,21478671.029205758,0.0 
 01/12  12:00:00,-10.8,-11.743740311828423,-11.743740311828423,22.000635223015298,3384723.27448516,26141629.208723582,2433057.8820045,156848.65978789877,91387.87580164369,262245.8146182114,79961.87279157966,69905.58816024504,0.0,0.0,2183609.7041971404,0.0,21407238.897669118,0.0 
 01/12  13:00:00,-10.6,-11.523093849872815,-11.523093849872815,22.001022703617625,3328943.593119761,25454306.1052588,2386409.541030472,156848.65978789877,78324.26777055899,275305.33959165344,71961.40718856991,63765.81428019395,0.0,0.0,2148401.4294528635,0.0,21087567.39177542,0.0 
 01/12  14:00:00,-10.3,-11.438126231914245,-11.438126231914245,22.00054515536819,3404222.2028490608,25456501.925144132,2448016.388041509,156848.65978789877,88117.19209254326,275305.33959165344,63971.63739518969,57970.48774264223,0.0,0.0,1896477.9350964525,0.0,21566190.768963106,0.0 
 01/12  15:00:00,-9.8,-10.839810800675263,-10.839810800675263,22.000824181576707,3462130.1454357062,24463851.744024877,2524725.490616589,156848.65978789877,71802.02715767492,271611.73656886193,55971.17179217984,52175.161205090524,0.0,0.0,1757546.867703995,0.0,20907996.58624154,0.0 
 01/12  16:00:00,-9.3,-10.26873986632781,-10.26873986632781,22.001314868070452,3689182.424620603,24510266.984810326,2633659.9518394377,271871.0102990245,68531.3434485745,275305.33959165344,51970.93899067497,49445.41601578309,0.0,0.0,1874248.8595692539,0.0,20931025.916492604,0.0 
 01/12  17:00:00,-9.0,-9.631936030197465,-9.631936030197465,22.000738101365197,4439151.055606835,25587226.743188262,3052358.89628899,585568.329874822,71802.02715767492,290343.58047016273,53971.055391427355,47740.40167041126,0.0,0.0,2322975.921478171,0.0,21313464.168688554,0.0 
 01/12  18:00:00,-9.0,-9.5608035705968,-9.5608035705968,22.00098301988811,5222615.322871931,24798584.79614531,3656383.4267305257,815613.0308970734,94639.43270542756,318441.34632211406,51970.93899067497,46715.67082647567,0.0,0.0,3088933.389152113,0.0,19371202.40569503,0.0 
 01/12  19:00:00,-9.1,-10.008556105180014,-10.008556105180014,22.00101161326691,5980423.835032699,23551193.6631243,4004673.0667172875,1097940.6185152913,166460.58666841884,327807.2682727643,51970.93899067497,44330.37297966761,0.0,0.0,2624965.7872353313,0.0,18164650.327173386,0.0 
 01/12  20:00:00,-9.4,-10.742193848268183,-10.742193848268183,22.00053170826041,6284249.011962547,24200323.545945212,4150243.479685992,1216765.360778851,212154.52456924066,318441.34632211406,51970.93899067497,43650.08947823131,0.0,0.0,1882795.5296278403,0.0,19456864.797846716,0.0 
 01/12  21:00:00,-10.1,-11.31333528157844,-11.31333528157844,22.001272125229193,6356262.77384709,23615895.373745665,4224217.7688835785,1216765.360778851,172982.8272813029,309075.4243714635,51970.93899067497,45010.656481103826,0.0,0.0,1596336.5856489816,0.0,19388230.326712765,0.0 
 01/12  22:00:00,-10.9,-12.205826279051855,-12.205826279051855,22.000511106083366,5967916.9303565845,24978459.77822062,4087454.979919541,920178.804089006,127288.88938048104,303403.1054436047,49970.82258992248,46715.67082647567,0.0,0.0,1488115.634091579,0.0,21183763.85686566,0.0 
 01/12  23:00:00,-12.1,-13.098383856871454,-13.098383856871454,22.000745091957995,5013398.548649041,24824663.295939982,3527470.9569711694,512372.28864046925,84846.50838344306,290343.58047016273,33980.58719353241,37510.31559818029,0.0,0.0,1152143.2788736224,0.0,21950957.336553603,0.0 
 01/12  24:00:00,-13.5,-14.428912969801702,-14.428912969801702,22.00051481786874,4260970.3511856375,25130738.149057146,3045949.834236347,209131.546383865,58738.41912658998,271611.73656886193,17990.35179714245,20460.17214446194,0.0,0.0,716125.7237120039,0.0,23307880.02655016,0.0 
