Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1_FRONTROW_BOTTOMFLOOR:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  11:00:00,-10.7,-11.683582416890017,-11.683582416890017,22.000139002373423,74658059.01891476,156876213.25292498,38631885.27524645,1713680.159054812,1608497.6197635545,4720424.663127804,1343419.2664254215,0.0,0.0,156876213.25292498,0.0 
 01/12  12:00:00,-10.8,-11.743740311828423,-11.743740311828423,22.000225319687498,46622416.32477332,98567119.33590098,39324937.046586715,1713680.159054812,1364837.795636699,4720424.663127804,1194079.4716200747,0.0,0.0,98567119.33590098,0.0 
 01/12  13:00:00,-10.6,-11.523093849872815,-11.523093849872815,22.000287655386895,45870249.26987888,99820854.99975707,38594952.87661496,1713680.159054812,1169738.5460720598,4955496.112649762,1074607.6357757982,0.0,0.0,99820854.99975707,0.0 
 01/12  14:00:00,-10.3,-11.438126231914245,-11.438126231914245,22.00033973028324,76337994.96740258,166077446.90560374,37267631.61147033,1713680.159054812,1315991.5706358887,4955496.112649762,955295.5216371961,0.0,0.0,166077446.90560374,0.0 
 01/12  15:00:00,-9.8,-10.839810800675263,-10.839810800675263,22.000388627924576,58983170.10560596,125151723.62175515,36617461.96882949,1713680.159054812,1072331.7465090365,4889011.258239515,835823.6857929175,0.0,0.0,125151723.62175515,0.0 
 01/12  16:00:00,-9.3,-10.26873986632781,-10.26873986632781,22.00036685248827,46807818.42780701,97737862.02935483,38225869.85629992,2970378.9423616747,1023485.5215082268,4955496.112649762,776087.7678707795,0.0,0.0,97737862.02935483,0.0 
 01/12  17:00:00,-9.0,-9.631936030197465,-9.631936030197465,22.00032902507033,56858306.10078206,100203338.14503247,44795449.52530815,6397739.2604713,1072331.7465090365,5226184.44846293,805955.7268318479,0.0,0.0,100203338.14503247,0.0 
 01/12  18:00:00,-9.0,-9.5608035705968,-9.5608035705968,22.000282468849257,101469009.07019949,153445661.2909017,55269617.26711448,8911136.827085022,1413398.3701989125,5731944.233798051,776087.7678707795,0.0,0.0,153445661.2909017,0.0 
 01/12  19:00:00,-9.1,-10.008556105180014,-10.008556105180014,22.000248549679725,94846555.9426878,112907476.35678442,55399498.511634886,11995761.113383692,2486015.7671465483,5900530.828909755,776087.7678707795,0.0,0.0,112907476.35678442,0.0 
 01/12  20:00:00,-9.4,-10.742193848268183,-10.742193848268183,22.000187940588958,74757761.03932321,84164913.26967007,51663709.24382042,13294003.658122186,3168434.664964901,5731944.233798051,776087.7678707795,0.0,0.0,84164913.26967007,0.0 
 01/12  21:00:00,-10.1,-11.31333528157844,-11.31333528157844,22.000161076549062,72973673.10982572,85250558.99674013,49934365.634654075,13294003.658122186,2583422.566709569,5563357.63868634,776087.7678707795,0.0,0.0,85250558.99674013,0.0 
 01/12  22:00:00,-10.9,-12.205826279051855,-12.205826279051855,22.000163403581247,99324031.54416694,159871270.7169801,47741914.334141746,10053590.266454902,1901003.6688912208,5461255.897984883,746219.8089097101,0.0,0.0,159871270.7169801,0.0 
 01/12  23:00:00,-12.1,-13.098383856871454,-13.098383856871454,22.00013124707538,71551472.56261487,124411032.6645967,40294035.26445979,5598021.852912389,1267145.345635079,5226184.44846293,507435.85892682965,0.0,0.0,124411032.6645967,0.0 
 01/12  24:00:00,-13.5,-14.428912969801702,-14.428912969801702,22.000144896680165,45106595.71359803,102889048.29767299,32708042.448952936,2284906.8787397505,877232.4969443938,4889011.258239515,268651.90894395043,0.0,0.0,102889048.29767299,0.0 
