Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1_FRONTROW_BOTTOMFLOOR:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  14:00:00,-10.3,-11.438126231914245,-11.438126231914245,22.000985041384222,78595555.41320014,251187005.56936088,37267631.61147033,1713680.159054812,1315991.5706358887,4955496.112649762,955295.5216371961,0.0,0.0,251187005.56936088,0.0 
 01/12  15:00:00,-9.8,-10.839810800675263,-10.839810800675263,22.001094796926004,61121847.90284716,210296118.74852693,36617461.96882949,1713680.159054812,1072331.7465090365,4889011.258239515,835823.6857929175,0.0,0.0,210296118.74852693,0.0 
 01/12  16:00:00,-9.3,-10.26873986632781,-10.26873986632781,22.001181481163268,49030622.98158604,182536721.22422445,38225869.85629992,2970378.9423616747,1023485.5215082268,4955496.112649762,776087.7678707795,0.0,0.0,182536721.22422445,0.0 
 01/12  17:00:00,-9.0,-9.631936030197465,-9.631936030197465,22.001146337614752,59071349.6904052,183224263.63522816,44795449.52530815,6397739.2604713,1072331.7465090365,5226184.44846293,805955.7268318479,0.0,0.0,183224263.63522816,0.0 
 01/12  18:00:00,-9.0,-9.5608035705968,-9.5608035705968,22.00096847898241,103687418.68094951,234640713.56471893,55269617.26711448,8911136.827085022,1413398.3701989125,5731944.233798051,776087.7678707795,0.0,0.0,234640713.56471893,0.0 
 01/12  19:00:00,-9.1,-10.008556105180014,-10.008556105180014,22.001001633141463,96965608.32771805,195079408.85294998,55399498.511634886,11995761.113383692,2486015.7671465483,5900530.828909755,776087.7678707795,0.0,0.0,195079408.85294998,0.0 
 01/12  20:00:00,-9.4,-10.742193848268183,-10.742193848268183,22.000930358333257,76940962.18507904,167199701.2627954,51663709.24382042,13294003.658122186,3168434.664964901,5731944.233798051,776087.7678707795,0.0,0.0,167199701.2627954,0.0 
 01/12  21:00:00,-10.1,-11.31333528157844,-11.31333528157844,22.00090050306535,75162887.19045335,168714955.96235138,49934365.634654075,13294003.658122186,2583422.566709569,5563357.63868634,776087.7678707795,0.0,0.0,168714955.96235138,0.0 
 01/12  22:00:00,-10.9,-12.205826279051855,-12.205826279051855,22.000670384023366,101538413.2861411,242830541.93589115,47741914.334141746,10053590.266454902,1901003.6688912208,5461255.897984883,746219.8089097101,0.0,0.0,242830541.93589115,0.0 
 01/12  23:00:00,-12.1,-13.098383856871454,-13.098383856871454,22.00065318507741,73786945.17279013,213077361.47993654,40294035.26445979,5598021.852912389,1267145.345635079,5226184.44846293,507435.85892682965,0.0,0.0,213077361.47993654,0.0 
 01/12  24:00:00,-13.5,-14.428912969801702,-14.428912969801702,22.00067986632299,47440707.26826466,195182860.52276975,32708042.448952936,2284906.8787397505,877232.4969443938,4889011.258239515,268651.90894395043,0.0,0.0,195182860.52276975,0.0 
