Date/Time,Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),gas_dryer:InteriorEquipment:Electricity [J](TimeStep),gas_range:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),InteriorEquipment:NaturalGas [J](TimeStep),Heating:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  12:00:00,36712292.40374049,247226648.0010933,27425137.87962011,1713680.159054812,1364837.795636699,4720424.663127804,1194079.4716200747,1048308.2418984461,0.0,0.0,32642950.0846883,0.0,179879170.9756971,0.0 
 01/12  13:00:00,36190574.59154474,241316969.97886336,26931862.371363785,1713680.159054812,1169738.5460720598,4955496.112649762,1074607.6357757982,956235.8377997031,0.0,0.0,32116125.78860367,0.0,179096081.6121962,0.0 
 01/12  14:00:00,36843028.64908031,236313823.7036849,27521152.320463695,1713680.159054812,1315991.5706358887,4955496.112649762,955295.5216371961,869328.7859645649,0.0,0.0,28332548.93900536,0.0,181004649.17947724,0.0 
 01/12  15:00:00,37325118.77269449,228468672.3076322,28098420.546367235,1713680.159054812,1072331.7465090365,4889011.258239515,835823.6857929175,782421.7341294265,0.0,0.0,26241082.17973883,0.0,177788417.46904013,0.0 
 01/12  16:00:00,39621975.15054936,228093516.78988928,29155972.865033984,2970378.9423616747,1023485.5215082268,4955496.112649762,776087.7678707795,741486.3174403644,0.0,0.0,27984173.243114583,0.0,176902256.53850183,0.0 
 01/12  17:00:00,47271575.50305918,236157496.7669661,33439684.12781704,6397739.2604713,1072331.7465090365,5226184.44846293,805955.7268318479,715917.8237355244,0.0,0.0,34690151.07145464,0.0,174680096.046831,0.0 
 01/12  18:00:00,55628759.78771049,238801762.84066284,39745329.539308414,8911136.827085022,1413398.3701989125,5731944.233798051,776087.7678707795,700550.900751302,0.0,0.0,46145019.54326164,0.0,160145949.77079841,0.0 
 01/12  19:00:00,66777713.41913823,227507668.80198076,43617977.676604085,11995761.113383692,2486015.7671465483,5900530.828909755,776087.7678707795,664780.8363258442,0.0,0.0,39168572.04791574,0.0,149941841.0107249,0.0 
 01/12  20:00:00,69809894.35087232,222372652.7366215,45209551.04674158,13294003.658122186,3168434.664964901,5731944.233798051,776087.7678707795,654579.2656052251,0.0,0.0,28029144.924741067,0.0,154743402.86693102,0.0 
 01/12  21:00:00,70308280.96731769,216287118.88821045,45675432.05836988,13294003.658122186,2583422.566709569,5563357.63868634,776087.7678707795,674982.407046462,0.0,0.0,23724929.214083172,0.0,156152520.79515594,0.0 
 01/12  22:00:00,65723089.61660037,219688278.9468351,44044333.783121735,10053590.266454902,1901003.6688912208,5461255.897984883,746219.8089097101,700550.900751302,0.0,0.0,22107072.31167421,0.0,165675792.9223257,0.0 
 01/12  23:00:00,55541635.52630894,215580311.77014086,38054912.15261661,5598021.852912389,1267145.345635079,5226184.44846293,507435.85892682965,562506.8615064835,0.0,0.0,17096049.650594376,0.0,174491091.35277042,0.0 
 01/12  24:00:00,47421562.44309248,214142599.20629197,32838385.066147096,2284906.8787397505,877232.4969443938,4889011.258239515,268651.90894395043,306821.9244580813,0.0,0.0,10578766.75697427,0.0,188028261.9152735,0.0 
