OpenDSS Value (p.u.),Bus
1.0095467149112376,p1ulv15240
1.0095506370665213,p1ulv27591
1.0095520470913226,udm30113
1.00955466838663,p1ulv29270
1.0095631159719187,udm25105
1.0095632608452467,p1ulv17553
1.0095636263892027,p1ulv20646
1.0095901497137498,p1ulv23951
1.0096006085266236,udm30225
1.0096028164153372,p1ulv23502
1.0096064419265498,udm18149
1.0096070605838245,udm25140
1.009618269517969,p1ulv21979
1.0096197468877008,udm25142
1.0096251388274557,udm32815
1.009628119379363,p1ulv20403
1.009635551760591,udm24272
1.0096410805570124,p1ulv20798
1.009649538656531,p1ulv14206
1.009656626303884,udm25098
1.009662898498275,udm25146
1.009666332258334,p1ulv13185
1.0096670899733318,p1ulv23436
1.0096671116209768,udm25051
1.009672112180295,udm25073
1.0096739461671147,p1ulv19468
1.0096874373421663,udm3636
1.0096887400750654,p1ulv23438
1.009689705882232,p1ulv20799
1.009694667513795,p1ulv17545
1.0097142604150449,p1ulv14237
1.0097184968622013,p1ulv11162
1.009724473629272,udm19169
1.0097311271977065,p1ulv19041
1.0097503283738143,p1ulv24917
1.009755184118014,p1ulv15326
1.0097599538536675,udm25049
1.0097614088577571,p1ulv37391
1.0097665045789248,p1ulv10386
1.0097795191579517,p1ulv14303
1.0097805715268608,p1ulv11161
1.0097888742608354,udm14021
1.009805471772936,p1ulv7868
1.0098079974326923,p1ulv7884
1.0098115597091595,udt6114lv
1.0098239066492387,udm14051
1.0098244592385046,udm25050
1.009824659669477,p1ulv6394
1.0098317823036247,p1ulv1645
1.0098351884744838,udm30226
1.009836842351832,p1ulv17327
1.0098394714232233,udm3943
1.0098593962044253,udt9906lv
1.0098707765341803,udm30049
1.0098765971089896,udm25101
1.0098900416814858,udm25102
1.0099178365382198,p1ulv14165
1.009918694793304,p1ulv10397
1.009920114994735,udt3587lv
1.0099455909527295,p1ulv22079
1.0099563006446932,udt8379lv
1.0099570683906114,udm34198
1.0099707992399014,p1ulv25934
1.0099709245899422,p1ulv34347
1.009974048525845,p1ulv20617
1.009981889245177,p1ulv25390
1.0099822609588514,p1ulv15371
1.0099835995040132,udt8255lv
1.0099899738293505,udm24362
1.0099910079359369,p1ulv23947
1.009995128086561,p1ulv21837
1.0100054502596603,udm24255
1.0100114869856862,p1ulv25101
1.0100147104868924,p1ulv16948
1.0100362929688536,udm23472
1.0100478288254782,p1ulv29195
1.010050543832855,p1ulv14965
1.0100579919631145,p1ulv35626
1.0100826156546074,udm25055
1.0100832018925452,udm19081
1.010086028719948,p1ulv14202
1.0100864092699897,udm24270
1.010105988252835,p1ulv20046
1.010116890187063,udm31556
1.010118904293097,p1ulv10399
1.010121292174814,p1ulv10398
1.0101248067963293,p1ulv15289
1.0101288557325363,udm25096
1.0101569419216596,p1ulv11160
1.0101622783477322,udm32346
1.0101693651397885,p1ulv18727
1.0101718657960368,p1ulv31040
1.0101856992985894,p1ulv25949
1.010193302218173,p1ulv21395
1.0101952875499456,udm14066
1.0102008581551032,udm24269
1.0102159727318982,p1ulv17040
1.0102332987439722,p1ulv25321
1.0102365290670665,udm25127
1.0102414322121942,udm23475
1.0102702967564672,udm25256
1.010270670488441,p1ulv14111
1.0102724142373019,p1ulv24857
1.0102727499513091,p1ulv22281
1.0102777163238699,udm25099
1.010281309615089,p1ulv14274
1.0102822002313647,udm26073
1.010288710769264,p1ulv25365
1.010293650708809,p1ulv25767
1.0102939728897402,p1ulv37435
1.010299377567621,p1ulv13836
1.0103021717765253,udm19157
1.010314728677526,udt6743lv
1.0103161482949525,udm25112
1.010325190791491,p1ulv20235
1.0103327825499924,p1ulv21469
1.0103364764981664,p1ulv20800
1.0103451446019387,udm14044
1.0103594830846556,udm6622
1.0103608791437244,udm12390
1.0103681209854085,p1ulv23949
1.0103703416423162,udm23583
1.0103774211098573,p1ulv14990
1.0103868473262436,udm25104
1.0103883044212845,p1ulv1857
1.010404694548821,p1ulv10392
1.0104090510974229,udm8867
1.010414792231995,p1ulv6940
1.0104166587871983,p1ulv18979
1.0104180899508832,p1ulv20549
1.010426465856663,p1ulv29265
1.010431485429891,udt6995lv
1.010434859086037,udm25223
1.0104378730166308,p1ulv23594
1.010438526766174,udm11539
1.0104533142576548,udm31888
1.010457864577396,p1ulv21639
1.0104595710900777,udm18181
1.010459649213094,p1ulv11158
1.0104899714388802,p1ulv25764
1.0104965907006183,p1ulv4860
1.0105020071461799,udm26074
1.0105023554106047,udm19154
1.010507175713558,udm30048
1.0105187846430757,p1ulv14225
1.0105285020267312,p1ulv16352
1.0105402719259113,udm19159
1.0105421627256486,p1ulv14215
1.0105478064174556,udm26762
1.0105480614385989,p1ulv37295
1.010548834482931,p1ulv15589
1.0105491238869329,udm25145
1.010549481742265,p1ulv11129
1.0105527720531486,p1ulv15327
1.0105598348704727,p1ulv16840
1.0105646852143007,p1ulv29081
1.010573249761318,p1ulv20399
1.0105773321654397,udm25144
1.010579999464631,udm25153
1.0105842682386572,p1ulv7862
1.0105941435830954,p1ulv24648
1.010596042502843,p1ulv32452
1.0105981306036722,udm25103
1.0106085363705208,udm31458
1.010613735512409,p1ulv20796
1.0106202054151692,udm14053
1.010620858129655,p1ulv14243
1.0106274790254521,udm24549
1.0106296094400418,p1ulv25887
1.010630214032215,p1ulv15283
1.0106350278642184,p1ulv14231
1.0106444772501773,udt6731lv
1.0106592120198452,udt3573lv
1.0106638672489976,p1ulv11163
1.0106671040738209,udt3599lv
1.0106778798284521,p1ulv25813
1.0106799680917886,udm14038
1.0106818925614935,p1ulv21517
1.010682528243678,p1ulv21932
1.010687194496656,udm25137
1.0106917035485026,p1ulv21633
1.0106937078425653,udm34197
1.0107036456325629,p1ulv14226
1.0107107519115783,p1ulv15450
1.0107129935332388,p1ulv25141
1.010713810888106,udm26760
1.0107206925190426,udm24358
1.010724581418879,p1ulv18969
