year,month,day,hour,temperature,GHI
2020,1,12,20,-9.4,0
2020,1,12,21,-10.1,0
2020,1,12,22,-10.9,0
2020,1,12,23,-12.1,0
2020,1,12,24,-13.5,0
2020,1,13,1,-14.6,0
2020,1,13,2,-15.3,0
2020,1,13,3,-15.7,0
2020,1,13,4,-16,0
2020,1,13,5,-16.2,0
2020,1,13,6,-16.1,0
2020,1,13,7,-15.8,50
2020,1,13,8,-15.7,172
2020,1,13,9,-15.7,101
2020,1,13,10,-15.6,100
2020,1,13,11,-15.9,36
2020,1,13,12,-16.4,30
2020,1,13,13,-15.8,20
2020,1,13,14,-13.6,51
2020,1,13,15,-12,10
2020,1,13,16,-10.9,0
2020,1,13,17,-10,0
2020,1,13,18,-9.4,0
2020,1,13,19,-9.2,0
2020,1,13,20,-9.5,0
2020,1,13,21,-10.1,0
2020,1,13,22,-10.4,0
2020,1,13,23,-10.9,0
2020,1,13,24,-11.8,0
2020,1,14,1,-12.6,0
2020,1,14,2,-13.5,0
2020,1,14,3,-14.2,0
2020,1,14,4,-15,0
2020,1,14,5,-15.6,0
2020,1,14,6,-16.2,0
2020,1,14,7,-16.5,42
2020,1,14,8,-16.8,179
2020,1,14,9,-16.7,172
2020,1,14,10,-16.9,144
2020,1,14,11,-17.8,137
2020,1,14,12,-18,100
2020,1,14,13,-16.3,94
2020,1,14,14,-13.7,46
2020,1,14,15,-11.7,10
2020,1,14,16,-10.3,0
2020,1,14,17,-9.4,0
2020,1,14,18,-9.1,0
2020,1,14,19,-9.2,0
2020,1,14,20,-9.5,0
2020,1,14,21,-10,0
2020,1,14,22,-10.1,0
2020,1,14,23,-10.1,0
2020,1,14,24,-10.2,0
2020,1,15,1,-10.4,0
2020,1,15,2,-10.1,0
2020,1,15,3,-9,0
2020,1,15,4,-8.3,0
2020,1,15,5,-8.2,0
2020,1,15,6,-8.1,0
2020,1,15,7,-8,21
2020,1,15,8,-8,70
2020,1,15,9,-8.1,77
2020,1,15,10,-8.6,63
2020,1,15,11,-9.2,120
2020,1,15,12,-10.2,108
2020,1,15,13,-10,94
2020,1,15,14,-8.6,74
2020,1,15,15,-7.3,13
2020,1,15,16,-6.1,0
2020,1,15,17,-5.3,0
2020,1,15,18,-4.7,0
2020,1,15,19,-4.6,0
2020,1,15,20,-5.3,0
2020,1,15,21,-6.8,0
